Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name
638,1520 ALFORD PL,Jacksonville,32207,Hendricks Sanmarc Apartments,1,2023,
639,412 E ASHLEY ST,Jacksonville,32202,Hoose A Apartments,1,2020,
640,3630 GALICIA RD,Jacksonville,32217,Housing Association of Diocese of St Augustine Apartments,1,1999,
641,139 N JEFFERSON ST,Jacksonville,32204,Houston Street Manor Limited,1,2018,
642,4785 WALGREEN RD,Jacksonville,32209,I M Sulzbacher Center For the Homeless Apartments,1,2025,
643,210 S 22ND AVE,Jacksonville Beach,32250,J P Apartments,1,1977,
644,1605 MYRTLE AVE,Jacksonville,32209,Jacksonville Housing Authority Apartments,1,1999,
645,1300 N BROAD ST,Jacksonville,32202,Jacksonville Housing Authority Apartments,1,1974,
646,2804 W 1ST ST,Jacksonville,32254,Jax 2804 Apartments,1,1970,
647,160 N 7TH AVE,Jacksonville Beach,32250,Jax Beach Iia Apartments,1,1995,
648,888 FRANKLIN ST,Jacksonville,32206,Jha Franklin Arms Apartments,1,1971,
649,550 COMET ST,Jacksonville,32205,Jjta11 Real Apartments,1,1971,
650,2506 JAMMES RD,Jacksonville,32210,Jjta12 Real Apartments,1,1975,
651,6259 WILSON BLVD,Jacksonville,32210,Jjta13 Real Apartments,1,1972,
652,6253 WILSON BLVD,Jacksonville,32210,Jjta13 Real Apartments,1,1972,
653,7154 CONANT AVE,Jacksonville,32210,Jjta14 Real Apartments,1,1963,
654,7166 CONANT AVE,Jacksonville,32210,Jjta14 Real Apartments,1,1968,
655,1029 BRADY ST,Jacksonville,32209,Jjta24 Real Apartments,1,1960,
656,5566 KINGSBURY ST,Jacksonville,32205,Jjta4 Real Apartments,1,1964,
657,12397 SAN JOSE BLVD,Jacksonville,32223,Julington Apartments,1,2022,
658,3253 JUSTINA RD,Jacksonville,32277,Justina Rd Apartments,1,1964,
659,2969 HERSCHEL ST,Jacksonville,32205,Ken Flow Aircraft Parts Apartments,1,1922,
660,1606 KING ST,Jacksonville,32204,King 25 Apartments,1,1957,
661,1038 CALIENTE DR,Jacksonville,32211,La Palma Residences Tic,1,1960,
662,4360 DEERWOOD LAKE PKWY,Jacksonville,32216,Lake Lofts,1,2017,
663,909 BERT RD,Jacksonville,32211,Les Chateaux Apartments,1,1968,
664,2203 ART MUSEUM DR,Jacksonville,32207,Liberty Center Apartments,1,1976,
665,1845 LINDBERG DR,Jacksonville,32210,Lindberg Dr Apartments,1,1977,
666,190 CHELSEA ST,Jacksonville,32204,Lofts at Brooklyn,1,2021,
667,799 WATER ST,Jacksonville,32204,Lofts at Lavilla,1,2019,
668,995 WATER ST,Jacksonville,32204,Lofts at Lavilla,1,2017,
669,906 W MONROE ST,Jacksonville,32204,Lofts at Lavilla On Monroe,1,2018,
670,840 S EDGEWOOD AVE,Jacksonville,32205,Lofts at Murray Hill,1,2021,
671,3036 PHILIPS HWY,Jacksonville,32207,Lofts at San Marco East,1,2024,
672,7400 HOGAN RD,Jacksonville,32216,Madison Manor Apartments,1,2007,
673,6898 A C SKINNER PKWY,Jacksonville,32256,Mag Portiva Apartments,1,2018,
674,103 TROUT RIVER DR,Jacksonville,32208,Market Ready Pros Apartments,1,1957,
675,207 N 9TH AVE,Jacksonville Beach,32250,Marshpoint Multi Family One,1,1948,
676,220 S 5TH AVE,Jacksonville Beach,32250,Marshpoint Multi Family One,1,1969,
677,1250 W 16TH ST,Jacksonville,32209,Mary Eaves Apartments,1,2017,
678,6699 LENOX AVE,Jacksonville,32205,Matyi Daniel J Apartments,1,1984,
679,831 MAY ST,Jacksonville,32204,May Post Real Estate Apartments,1,1940,
680,4580 SHIRLEY AVE,Jacksonville,32210,Mcdaniel Apartments,1,1963,
681,4575 LEXINGTON AVE,Jacksonville,32210,Mcdaniel Apartments,1,1963,
682,5846 MT CARMEL TER,Jacksonville,32216,Mcg Senior Apartments,1,1972,
683,6555 LENOX AVE,Jacksonville,32205,Melissa Grove,1,2024,
684,127 S 1ST AVE,Jacksonville Beach,32250,Melrose Place Apts 1St Ave,1,1955,
685,3927 NOTTER AVE,Jacksonville,32206,Metro North Community Development Corporation Apartments,1,1969,
686,220 RIVERSIDE AVE,Jacksonville,32202,Mid America Apartments,1,2014,
687,9050 NORFOLK BLVD,Jacksonville,32208,Morris Manor Ll,1,1980,
688,4809 PLYMOUTH ST,Jacksonville,32205,Murray Hill Village,1,1978,
689,4818 ALPHA AVE,Jacksonville,32205,Murray Hill Village,1,1988,
690,3933 PRITMORE RD,Jacksonville,32257,National Church Residences,1,1983,
691,8000 FLEET LANDING BLVD,Atlantic Beach,32233,Naval Continuing Care Retirement Foundation Apartments,1,2021,
692,7911 TALLAHASSEE AVE,Jacksonville,32208,New Outlook Apartments,1,1995,
693,2250 JAMMES RD,Jacksonville,32210,Northwest Housing Initiative Apartments,1,2003,
694,11291 ALUMNI WAY,Jacksonville,32246,Nshf Apartments,1,2015,
695,6734 103RD ST,Jacksonville,32210,Nvc 103Rd Street Apartments,1,2011,
696,15001 N MAIN ST,Jacksonville,32218,Oceanway Sand Apartments,1,1946,
697,814 N 1ST ST,Jacksonville Beach,32250,Packer Apartments,1,2014,
698,139 COTTAGE AVE,Jacksonville,32206,Pearce Springfield Apartments,1,1929,
699,1504 PERRY ST,Jacksonville,32206,Perry Street Apartments,1,1946,
700,1800 CORPORATE SQUARE BLVD,Jacksonville,32211,Peyton Ridge Community,1,2016,
701,20 W ADAMS ST,Jacksonville,32202,Phoenix Adams Rising Apartments,1,1911,
702,8760 PINNACLE PARK BLVD,Jacksonville,32256,Pinnacle,1,2024,
703,780 SCAUP WAY,Jacksonville,32218,Preserve at Jax Prop Apartments,1,2023,
704,2831 HERSCHEL ST,Jacksonville,32205,Preserved Properties of Avondale Apartments,1,1942,
705,2775 HERSCHEL ST,Jacksonville,32205,R&R Apartments,1,1958,
706,6473 SAN JUAN AVE,Jacksonville,32210,R&R Loving Hands Apartments,1,2021,
707,1504 S MCDUFF AVE,Jacksonville,32205,Raymond Charles Apartments,1,1926,
708,2345 POST ST,Jacksonville,32204,Ricketson Darlene Apartments,1,1948,
709,2738 RIVERSIDE AVE,Jacksonville,32205,Riverside 25 Apartments,1,1929,
710,750 OAK ST,Jacksonville,32204,Riverside Park Apartments Ll,1,1982,
711,1045 OAK ST,Jacksonville,32204,Riverside Presbyterian Apartments,1,1970,
712,1826 BAYARD PL,Jacksonville,32205,Riviera Park,1,1951,
713,931 RUBEL ST,Jacksonville,32205,Rubel and College Apartments,1,1928,
714,3622 GALICIA RD,Jacksonville,32217,San Jose Catholic Housing Association Apartments,1,1999,
715,1823 DANESE CT,Jacksonville,32207,San Marco Fm Apartments,1,1963,
716,10640 SATORI LN,Jacksonville,32256,Satori Town Center Apartments,1,2021,
717,421 W CHURCH ST,Jacksonville,32202,Sba Edge Apartments,1,1959,
718,3146 POST ST,Jacksonville,32205,Sbsjax 3146 Post St Apartments,1,1955,
719,555 BISHOP GATE LN,Jacksonville,32204,Sea 15 Apartments,1,2020,
720,1900 OLEVIA ST,Jacksonville,32207,Smc Apartments,1,2021,
721,1810 BERTHA ST,Jacksonville,32207,Smc Apartments,1,2021,
722,1444 HOME ST,Jacksonville,32207,Soba Apartments,1,2019,
723,3465 PHILIPS HWY,Jacksonville,32207,Sp Jax Apartments,1,1978,
724,605 N OCEAN ST,Jacksonville,32202,Sp Sd Apartments,1,1907,
725,1148 N MAIN ST,Jacksonville,32206,Springfield Mf Apartments,1,2025,
726,19 W 38TH ST,Jacksonville,32206,St 38 Street Apartments,1,1950,
727,22 W 38TH ST,Jacksonville,32206,St 38 Street Apartments,1,1950,
728,2761 ST JOHNS AVE,Jacksonville,32205,St Johns Apartments,1,1952,
729,3273 JUSTINA RD,Jacksonville,32277,St Justina Apartments,1,1964,
730,1020 STOCKTON ST,Jacksonville,32204,Stockton Apartments,1,1930,
731,2335 RIVERSIDE AVE,Jacksonville,32204,Sunshine 2335 Realty Apartments,1,1928,
732,5844 JUSTINA CT,Jacksonville,32277,Sunshine State Reo Apartments,1,1965,
733,2851 SOPHIA ST,Jacksonville,32254,Tlv Investments 3 Apartments,1,1973,
734,1400 LE BARON AVE,Jacksonville,32207,Towers Of,1,1972,
735,5000 BIG ISLAND DR,Jacksonville,32246,Town Center Apartments,1,2013,
736,113 W ADAMS ST,Jacksonville,32202,W A Knight Bldg Development Apartments,1,1920,
737,218 W CHURCH ST,Jacksonville,32202,W Church Apartments,1,1924,
738,208 N 10TH AVE,Jacksonville Beach,32250,Wadman John P Apartments,1,1948,
739,1055 E 1ST ST,Jacksonville,32206,Wealth Watchers Apartments,1,2018,
740,5626 WINDERMERE DR,Jacksonville,32211,Windermere Apartments,1,1974,
741,3015 PARENTAL HOME RD,Jacksonville,32216,Yccp Apartments,1,2009,
